Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Frequently,393,Research & Development,10,4,Marketing,1,23,1,Female,45,1,1,Manufacturing Director,4,Married,7370,6057,7,Y,No,14,4,3,80,0,37,5,4,18,7,3,6
37,No,Travel_Rarely,390,Sales,23,3,Marketing,1,24,2,Male,39,3,1,Research Scientist,3,Divorced,6882,4334,4,Y,No,11,3,2,80,0,16,2,1,8,3,5,2
24,No,Non-Travel,347,Research & Development,18,5,Other,1,25,2,Male,51,2,2,Research Director,1,Divorced,7599,6817,1,Y,No,12,4,3,80,0,4,1,1,10,4,4,3
45,Yes,Non-Travel,657,Research & Development,10,3,Marketing,1,26,2,Female,83,1,3,Research Scientist,2,Divorced,13274,14833,1,Y,Yes,18,3,4,80,1,24,4,1,7,2,0,2
58,No,Non-Travel,227,Research & Development,18,4,Life Sciences,1,27,1,Male,24,4,1,Research Scientist,3,Married,4611,6034,2,Y,No,19,3,3,80,1,38,2,4,13,5,3,4
54,No,Travel_Frequently,606,Sales,11,4,Medical,1,28,4,Female,71,4,3,Healthcare Representative,3,Divorced,12116,14095,8,Y,No,16,4,1,80,1,32,3,2,13,5,2,4
20,No,Travel_Rarely,500,Research & Development,10,3,Technical Degree,1,29,4,Male,62,1,2,Sales Representative,3,Divorced,10233,11610,6,Y,Yes,25,3,2,80,0,1,1,4,0,0,0,0
53,No,Non-Travel,837,Sales,13,3,Other,1,30,4,Male,94,4,4,Research Scientist,3,Single,16061,18437,2,Y,No,13,3,4,80,0,34,4,3,19,7,3,6
50,No,Travel_Frequently,646,Sales,11,3,Technical Degree,1,31,2,Male,79,4,3,Research Director,3,Married,12720,14474,8,Y,No,11,4,2,80,2,31,3,2,9,3,0,3
24,No,Non-Travel,452,Research & Development,13,5,Technical Degree,1,32,4,Male,64,1,2,Research Director,3,Divorced,8805,5513,2,Y,Yes,19,4,3,80,2,2,6,3,0,0,0,0
23,No,Travel_Frequently,512,Sales,28,3,Medical,1,33,2,Male,66,4,3,Research Scientist,4,Single,10556,10546,4,Y,No,20,3,2,80,0,1,0,2,2,0,3,0
47,No,Travel_Rarely,308,Research & Development,12,5,Marketing,1,34,2,Female,39,4,1,Research Director,4,Married,6137,829,6,Y,No,20,3,4,80,0,27,3,3,14,5,3,4
56,No,Travel_Rarely,722,Research & Development,10,4,Technical Degree,1,35,4,Male,83,1,4,Manufacturing Director,1,Single,14271,12700,2,Y,No,25,3,3,80,2,35,0,3,11,4,0,3
35,No,Travel_Frequently,813,Research & Development,9,4,Technical Degree,1,36,2,Female,96,4,4,Research Director,1,Divorced,15881,18047,1,Y,No,11,3,3,80,0,15,3,2,5,2,0,1
48,Yes,Travel_Frequently,386,Research & Development,13,1,Other,1,37,3,Male,46,4,2,Manufacturing Director,1,Married,8148,4612,6,Y,Yes,13,3,1,80,0,29,4,1,7,2,3,2
35,No,Non-Travel,356,Research & Development,15,1,Medical,1,38,4,Male,49,3,2,Manufacturing Director,3,Single,7428,9262,8,Y,No,24,3,2,80,3,15,6,1,10,4,4,3
22,Yes,Travel_Frequently,435,Research & Development,19,4,Medical,1,39,1,Male,50,2,2,Manufacturing Director,2,Single,8732,8670,2,Y,No,14,3,1,80,0,1,6,1,2,0,0,0
41,No,Travel_Frequently,392,Sales,20,4,Medical,1,40,1,Female,45,4,2,Sales Executive,4,Married,7863,8645,0,Y,No,16,3,4,80,0,21,0,4,0,0,1,0
24,No,Travel_Rarely,592,Sales,16,4,Life Sciences,1,41,4,Female,71,3,3,Human Resources,1,Single,11873,12354,7,Y,No,21,3,3,80,0,5,1,3,0,0,1,0
53,Yes,Travel_Rarely,456,Research & Development,4,4,Other,1,42,4,Female,54,2,2,Sales Representative,2,Divorced,9256,7377,5,Y,Yes,16,4,1,80,0,31,4,2,17,6,3,5
19,No,Travel_Frequently,611,Research & Development,14,4,Medical,1,43,2,Female,85,1,3,Sales Executive,4,Divorced,12659,9248,2,Y,No,17,3,1,80,2,1,1,1,6,2,3,2
27,Yes,Travel_Rarely,540,Research & Development,16,2,Marketing,1,44,3,Male,69,4,3,Healthcare Representative,2,Married,10821,15446,7,Y,No,20,3,1,80,0,8,5,1,0,0,0,0
26,No,Travel_Frequently,302,Research & Development,11,4,Other,1,45,4,Female,37,1,1,Research Director,3,Married,5988,4360,8,Y,No,24,3,4,80,0,7,0,1,0,0,0,0
57,No,Travel_Frequently,539,Research & Development,17,3,Marketing,1,46,2,Male,67,3,2,Sales Representative,3,Single,10603,11624,8,Y,Yes,12,3,2,80,0,35,5,3,14,5,6,4
59,No,Non-Travel,596,Human Resources,9,2,Marketing,1,47,4,Male,75,1,3,Research Director,3,Married,12047,10930,5,Y,No,23,3,4,80,1,40,2,2,9,3,0,3
59,No,Non-Travel,651,Research & Development,27,5,Life Sciences,1,48,4,Male,75,2,3,Human Resources,2,Single,12604,13507,0,Y,No,25,3,1,80,1,40,6,3,11,4,3,3
28,Yes,Non-Travel,416,Research & Development,22,3,Other,1,49,1,Male,53,2,2,Manager,2,Married,8858,8362,6,Y,No,22,3,3,80,0,8,5,3,2,0,1,0
51,No,Non-Travel,502,Research & Development,4,2,Other,1,50,2,Male,61,2,2,Sales Executive,4,Divorced,9460,10886,5,Y,No,23,3,2,80,0,31,6,2,8,3,6,2
28,No,Travel_Frequently,576,Research & Development,22,2,Technical Degree,1,51,2,Female,74,3,3,Laboratory Technician,4,Married,11946,12646,7,Y,No,16,4,4,80,3,8,1,2,2,0,0,0
56,No,Travel_Frequently,628,Research & Development,15,2,Life Sciences,1,52,4,Male,81,2,3,Manager,2,Married,12568,12501,1,Y,No,24,4,4,80,0,34,1,3,12,4,0,4
19,No,Non-Travel,609,Sales,18,3,Other,1,53,1,Female,73,1,3,Manager,4,Single,12139,13203,2,Y,No,13,4,1,80,0,1,6,4,0,0,1,0
58,No,Non-Travel,321,Research & Development,12,4,Other,1,54,2,Male,38,4,1,Research Director,1,Married,6511,7772,2,Y,No,19,3,2,80,1,36,0,3,10,4,0,3
19,No,Travel_Rarely,332,Sales,2,3,Life Sciences,1,55,4,Male,37,2,1,Research Scientist,2,Married,6219,8716,5,Y,No,18,3,2,80,0,1,6,4,0,0,1,0
34,No,Non-Travel,323,Research & Development,26,1,Life Sciences,1,56,3,Female,38,2,1,Sales Executive,4,Single,5914,7425,6,Y,No,25,3,4,80,1,14,2,4,4,1,4,1
24,No,Travel_Rarely,487,Research & Development,22,2,Life Sciences,1,57,1,Female,61,1,2,Sales Representative,4,Single,9541,8380,5,Y,No,22,3,4,80,0,5,6,3,5,2,5,1
54,No,Travel_Rarely,399,Sales,17,1,Other,1,58,3,Female,48,2,2,Manager,4,Married,8250,6260,2,Y,No,18,3,1,80,0,34,1,3,12,4,3,4
49,No,Travel_Rarely,326,Sales,4,3,Medical,1,59,3,Female,45,2,1,Laboratory Technician,1,Single,6872,1281,5,Y,No,14,4,2,80,2,27,4,3,8,3,3,2
26,Yes,Travel_Rarely,475,Sales,18,4,Medical,1,60,4,Female,61,4,2,Research Director,3,Divorced,9580,10390,1,Y,Yes,23,4,3,80,0,7,6,1,3,1,0,1
28,Yes,Travel_Rarely,403,Research & Development,20,2,Other,1,61,2,Male,48,2,1,Human Resources,3,Single,7527,4955,4,Y,Yes,25,3,2,80,1,8,5,1,0,0,1,0
54,No,Travel_Rarely,470,Research & Development,15,3,Other,1,62,4,Female,50,1,2,Human Resources,4,Divorced,8326,9991,3,Y,No,18,3,1,80,0,34,3,3,11,4,1,3
41,Yes,Travel_Rarely,243,Sales,16,4,Technical Degree,1,63,3,Male,36,2,1,Research Scientist,2,Married,5917,6322,6,Y,Yes,18,4,2,80,1,19,4,3,10,4,7,3
21,No,Travel_Rarely,803,Research & Development,7,3,Marketing,1,64,4,Female,101,3,4,Research Director,3,Divorced,15910,13422,6,Y,Yes,19,3,1,80,1,1,4,3,0,0,0,0
57,Yes,Travel_Rarely,404,Human Resources,11,2,Marketing,1,65,3,Female,48,4,2,Manager,1,Divorced,8108,6169,8,Y,Yes,13,4,4,80,0,36,4,2,13,5,4,4
52,No,Travel_Rarely,516,Research & Development,21,3,Technical Degree,1,66,3,Male,67,2,2,Sales Executive,1,Single,10607,12616,6,Y,No,19,4,1,80,1,32,1,4,11,4,3,3
44,No,Non-Travel,522,Research & Development,12,2,Marketing,1,67,3,Female,62,2,2,Research Director,4,Single,10137,8707,8,Y,No,19,4,4,80,3,22,2,4,4,1,0,1
37,No,Non-Travel,737,Research & Development,12,4,Marketing,1,68,3,Female,93,2,3,Research Director,4,Single,14272,13010,4,Y,No,12,4,3,80,0,17,5,4,1,0,0,0
26,Yes,Travel_Rarely,267,Research & Development,10,2,Life Sciences,1,69,2,Male,27,4,1,Sales Executive,2,Divorced,5406,9794,7,Y,Yes,23,3,4,80,1,5,1,1,0,0,1,0
44,No,Non-Travel,785,Sales,17,5,Medical,1,70,1,Female,98,3,4,Sales Representative,1,Married,15523,17412,4,Y,No,19,3,3,80,1,25,5,3,12,4,6,4
34,No,Travel_Rarely,389,Sales,8,4,Technical Degree,1,71,4,Female,45,1,2,Healthcare Representative,3,Married,7467,7415,6,Y,No,16,3,2,80,3,13,3,1,2,0,0,0
59,No,Travel_Frequently,568,Sales,20,3,Other,1,72,2,Male,74,2,3,Research Director,3,Single,11850,9474,4,Y,No,22,3,2,80,1,39,3,3,18,7,7,6
51,No,Travel_Frequently,522,Sales,2,4,Other,1,73,2,Female,63,4,2,Sales Executive,4,Divorced,10025,11147,5,Y,No,23,3,1,80,2,30,3,1,4,1,0,1
43,Yes,Travel_Frequently,193,Sales,21,3,Technical Degree,1,74,1,Female,24,3,1,Research Scientist,1,Married,4498,6632,8,Y,No,23,4,4,80,0,21,1,4,2,0,1,0
60,No,Travel_Rarely,781,Sales,9,5,Life Sciences,1,75,4,Female,90,4,4,Research Scientist,3,Divorced,15539,16891,0,Y,No,13,3,2,80,0,39,2,4,20,8,4,7
24,No,Travel_Rarely,610,Research & Development,27,4,Marketing,1,76,3,Male,81,2,3,Sales Executive,1,Married,12066,10757,3,Y,No,21,3,3,80,1,3,6,2,0,0,0,0
29,No,Non-Travel,520,Research & Development,14,4,Other,1,77,2,Male,66,3,2,Manager,4,Married,10392,7660,4,Y,No,19,4,2,80,2,9,0,2,1,0,0,0
41,Yes,Non-Travel,180,Research & Development,7,2,Life Sciences,1,78,2,Female,24,3,1,Healthcare Representative,2,Single,4199,5093,1,Y,Yes,14,4,3,80,3,22,0,4,6,2,0,2
38,No,Non-Travel,443,Research & Development,24,4,Marketing,1,79,3,Female,56,3,2,Manager,3,Married,8661,5903,7,Y,No,14,3,4,80,0,19,6,2,11,4,0,3
49,No,Non-Travel,512,Research & Development,25,4,Medical,1,80,1,Male,61,1,2,Research Director,4,Single,10297,10227,5,Y,Yes,11,3,1,80,3,30,5,2,5,2,2,1
57,No,Travel_Frequently,813,Research & Development,8,4,Other,1,81,4,Female,100,2,4,Research Director,3,Married,16226,18370,4,Y,No,13,3,1,80,3,38,4,1,15,6,6,5
33,No,Travel_Rarely,568,Sales,28,5,Other,1,82,1,Male,71,4,3,Research Scientist,1,Single,11719,11071,8,Y,No,20,4,4,80,1,11,2,2,7,2,2,2
22,No,Non-Travel,503,Research & Development,26,4,Life Sciences,1,83,2,Female,62,4,2,Sales Executive,3,Single,9837,12258,6,Y,No,13,4,3,80,0,1,5,2,7,2,4,2
57,No,Travel_Frequently,603,Research & Development,8,5,Life Sciences,1,84,2,Male,78,4,3,Sales Executive,4,Married,12626,10884,3,Y,No,23,4,1,80,2,37,2,4,15,6,1,5
24,Yes,Travel_Rarely,459,Research & Development,25,2,Other,1,85,1,Male,59,3,2,Healthcare Representative,1,Divorced,9342,8605,6,Y,Yes,17,3,4,80,0,5,3,3,3,1,0,1
22,Yes,Travel_Frequently,318,Research & Development,27,2,Marketing,1,86,1,Female,46,2,1,Research Scientist,2,Married,7106,6931,7,Y,No,16,4,3,80,0,2,3,4,0,0,1,0
38,No,Non-Travel,587,Research & Development,22,4,Life Sciences,1,87,3,Female,77,1,2,Laboratory Technician,3,Divorced,11567,11937,3,Y,No,13,4,2,80,1,18,4,4,4,1,0,1
44,No,Travel_Rarely,423,Sales,20,4,Life Sciences,1,88,4,Male,51,1,2,Healthcare Representative,4,Divorced,8669,6994,1,Y,No,19,4,3,80,2,23,6,4,7,2,0,2
59,No,Travel_Frequently,604,Research & Development,3,4,Medical,1,89,2,Female,77,3,3,Sales Representative,4,Married,12358,10096,3,Y,No,17,3,1,80,1,38,2,4,16,6,1,5
46,No,Travel_Rarely,311,Research & Development,26,4,Medical,1,90,2,Female,39,2,1,Sales Executive,2,Married,6121,8654,1,Y,No,14,3,3,80,1,24,3,2,13,5,3,4
42,No,Non-Travel,227,Sales,20,1,Marketing,1,91,4,Male,28,4,1,Research Scientist,4,Divorced,4414,3980,1,Y,No,18,3,1,80,0,21,6,3,5,2,0,1
27,No,Travel_Frequently,282,Research & Development,28,4,Life Sciences,1,92,2,Male,37,2,1,Sales Representative,4,Single,6597,6517,2,Y,No,11,3,3,80,2,8,4,3,5,2,3,1
49,No,Non-Travel,372,Research & Development,18,3,Life Sciences,1,93,1,Female,49,1,2,Research Scientist,4,Divorced,7365,7108,8,Y,No,16,4,3,80,2,28,6,4,8,3,1,2
33,No,Non-Travel,375,Human Resources,19,3,Marketing,1,94,2,Male,40,2,2,Manager,3,Married,7549,5371,3,Y,Yes,11,3,2,80,2,11,6,4,0,0,2,0
50,No,Travel_Frequently,454,Research & Development,3,5,Life Sciences,1,95,4,Female,53,2,1,Sales Representative,2,Divorced,8729,10423,2,Y,No,18,4,3,80,1,29,3,4,5,2,0,1
18,Yes,Travel_Frequently,306,Research & Development,19,5,Technical Degree,1,96,4,Male,34,3,1,Research Director,4,Single,5726,5984,6,Y,Yes,19,3,3,80,2,1,2,2,4,1,0,1
28,Yes,Travel_Frequently,1020,Sales,24,3,Medical,1,97,1,Male,127,3,5,Manufacturing Director,3,Divorced,20190,22558,4,Y,Yes,15,4,2,80,0,8,5,3,2,0,3,0
51,No,Travel_Rarely,614,Sales,25,4,Medical,1,98,3,Male,78,3,3,Research Scientist,1,Divorced,12631,9860,3,Y,No,24,4,3,80,0,32,6,1,11,4,0,3
27,Yes,Non-Travel,445,Research & Development,20,5,Life Sciences,1,99,3,Female,58,1,2,Manufacturing Director,2,Single,9393,9370,6,Y,No,22,3,2,80,1,5,4,2,2,0,0,0
21,No,Travel_Frequently,256,Research & Development,12,4,Medical,1,100,3,Male,33,2,1,Sales Representative,1,Single,5163,9582,1,Y,No,17,3,4,80,2,1,4,3,0,0,2,0
43,No,Travel_Frequently,399,Research & Development,8,4,Life Sciences,1,101,4,Male,49,1,2,Sales Representative,2,Married,8100,6625,8,Y,No,24,3,3,80,1,22,5,3,10,4,2,3
29,No,Non-Travel,541,Research & Development,3,2,Other,1,102,1,Male,63,1,3,Laboratory Technician,2,Married,10733,10739,4,Y,Yes,19,3,3,80,2,10,2,3,8,3,1,2
41,No,Non-Travel,714,Research & Development,24,2,Life Sciences,1,103,2,Female,94,1,4,Research Scientist,4,Single,15161,16712,0,Y,No,17,3,4,80,0,19,1,2,12,4,3,4
20,No,Travel_Rarely,529,Sales,25,5,Other,1,104,2,Male,62,4,2,Healthcare Representative,3,Single,10631,9897,0,Y,No,23,3,3,80,1,1,3,3,0,0,2,0
18,No,Non-Travel,642,Sales,19,5,Medical,1,105,2,Female,80,4,3,Healthcare Representative,1,Single,12975,12421,2,Y,No,12,3,3,80,1,1,5,1,3,1,0,1
36,Yes,Travel_Frequently,737,Research & Development,18,3,Medical,1,106,1,Female,93,2,4,Manager,1,Married,14548,17093,3,Y,Yes,12,3,4,80,1,16,3,2,3,1,1,1
56,No,Travel_Rarely,424,Research & Development,26,1,Life Sciences,1,107,4,Male,55,4,2,Research Scientist,2,Single,8364,6528,4,Y,No,23,3,2,80,0,37,0,1,4,1,0,1
23,Yes,Travel_Rarely,649,Research & Development,27,4,Technical Degree,1,108,1,Female,82,4,4,Sales Executive,3,Divorced,12830,11956,2,Y,Yes,17,4,1,80,0,1,4,1,2,0,3,0
46,No,Travel_Frequently,558,Sales,19,5,Technical Degree,1,109,4,Male,72,3,3,Manufacturing Director,2,Single,11292,14046,2,Y,No,16,3,4,80,1,27,3,1,7,2,3,2
21,No,Non-Travel,350,Research & Development,26,4,Marketing,1,110,4,Male,46,3,2,Manufacturing Director,1,Divorced,7942,6940,4,Y,No,16,4,2,80,0,1,4,2,5,2,2,1
30,No,Travel_Rarely,901,Research & Development,28,4,Life Sciences,1,111,2,Male,104,2,5,Human Resources,1,Single,17578,19453,0,Y,No,24,3,3,80,2,8,6,3,7,2,4,2
60,No,Non-Travel,443,Sales,5,3,Life Sciences,1,112,2,Female,61,2,2,Laboratory Technician,2,Divorced,8762,6269,7,Y,No,15,3,4,80,0,39,5,3,15,6,1,5
32,No,Travel_Rarely,443,Sales,9,4,Life Sciences,1,113,1,Female,48,3,2,Manager,3,Married,8978,10722,1,Y,No,16,4,2,80,0,12,0,4,1,0,2,0
42,No,Travel_Frequently,720,Research & Development,24,3,Life Sciences,1,114,1,Female,92,1,4,Manufacturing Director,3,Divorced,14226,17841,0,Y,No,13,3,3,80,0,21,3,3,1,0,1,0
28,Yes,Travel_Rarely,881,Research & Development,22,2,Technical Degree,1,115,1,Male,113,3,5,Sales Representative,4,Single,17478,19720,1,Y,Yes,24,4,1,80,1,8,2,2,0,0,0,0
25,No,Travel_Rarely,410,Research & Development,27,3,Life Sciences,1,116,4,Male,50,1,2,Healthcare Representative,3,Single,8837,10566,5,Y,No,14,3,3,80,1,3,2,2,0,0,0,0
32,Yes,Travel_Frequently,761,Research & Development,26,4,Life Sciences,1,117,1,Male,107,4,4,Sales Representative,1,Divorced,16488,13845,4,Y,Yes,14,3,2,80,3,13,1,2,3,1,0,1
34,No,Travel_Rarely,651,Research & Development,25,3,Life Sciences,1,118,1,Male,86,4,4,Research Scientist,1,Married,13641,12553,4,Y,No,20,4,2,80,0,15,4,4,1,0,0,0
59,No,Non-Travel,279,Research & Development,10,3,Technical Degree,1,119,3,Male,36,3,1,Healthcare Representative,1,Single,4862,1359,5,Y,No,15,3,1,80,0,40,6,4,19,7,8,6
35,No,Travel_Rarely,323,Research & Development,25,4,Other,1,120,2,Male,42,1,1,Research Director,3,Single,6654,6837,7,Y,No,13,4,3,80,2,14,3,1,9,3,1,3
21,No,Travel_Rarely,242,Research & Development,27,5,Marketing,1,121,3,Female,31,3,1,Research Director,2,Single,4580,8429,7,Y,No,22,4,2,80,2,1,2,4,0,0,0,0
59,No,Travel_Frequently,600,Sales,23,3,Technical Degree,1,122,1,Female,69,2,3,Human Resources,2,Married,11568,8221,0,Y,No,22,4,3,80,1,37,2,2,21,8,1,7
43,No,Travel_Frequently,840,Sales,8,4,Other,1,123,3,Female,105,3,5,Manager,3,Divorced,16756,15081,1,Y,No,23,4,3,80,0,23,4,3,7,2,1,2
44,No,Travel_Rarely,460,Research & Development,24,3,Other,1,124,3,Female,56,2,2,Manufacturing Director,4,Divorced,9013,7301,8,Y,No,13,3,2,80,0,24,3,3,9,3,0,3
39,No,Travel_Rarely,354,Research & Development,14,3,Technical Degree,1,125,4,Female,45,1,2,Research Scientist,4,Divorced,7027,4111,1,Y,No,16,4,2,80,0,17,1,3,8,3,0,2
38,No,Travel_Frequently,402,Sales,7,4,Life Sciences,1,126,4,Male,53,4,1,Laboratory Technician,4,Single,8550,11625,1,Y,Yes,19,4,4,80,0,17,0,4,0,0,0,0
40,No,Travel_Rarely,493,Sales,26,3,Medical,1,127,2,Male,58,3,2,Healthcare Representative,3,Single,9928,10859,8,Y,No,13,3,4,80,0,20,1,4,14,5,5,4
59,No,Non-Travel,646,Research & Development,16,4,Medical,1,128,1,Male,76,4,3,Human Resources,1,Married,12834,12478,1,Y,No,15,4,4,80,0,37,4,1,13,5,2,4
26,No,Travel_Frequently,440,Research & Development,7,3,Technical Degree,1,129,4,Male,54,3,2,Research Scientist,2,Single,8642,10651,4,Y,No,25,4,2,80,0,7,3,3,9,3,2,3
49,No,Travel_Rarely,481,Sales,14,2,Life Sciences,1,130,2,Male,59,1,2,Research Scientist,1,Single,9835,11509,4,Y,No,16,4,3,80,0,29,5,1,8,3,0,2
57,No,Travel_Rarely,440,Research & Development,26,3,Technical Degree,1,131,2,Female,54,1,2,Manager,2,Married,9414,11763,7,Y,No,18,3,2,80,0,38,4,1,18,7,4,6
26,No,Non-Travel,685,Research & Development,21,3,Other,1,132,1,Male,90,4,4,Research Director,2,Single,13896,10717,0,Y,No,21,3,2,80,1,4,5,3,6,2,2,2
28,No,Travel_Frequently,298,Research & Development,21,2,Technical Degree,1,133,4,Male,40,4,1,Healthcare Representative,4,Divorced,6674,8007,7,Y,No,22,3,3,80,0,9,3,1,4,1,0,1
58,No,Non-Travel,202,Research & Development,1,3,Marketing,1,134,3,Female,16,4,1,Research Director,3,Divorced,3518,3694,3,Y,No,14,3,1,80,0,38,5,4,14,5,4,4
44,No,Travel_Frequently,291,Research & Development,18,2,Other,1,135,4,Male,37,2,1,Sales Representative,1,Divorced,6400,7770,6,Y,Yes,11,4,4,80,0,23,5,4,16,6,3,5
56,No,Non-Travel,810,Research & Development,7,4,Other,1,136,4,Female,102,3,4,Sales Representative,2,Divorced,15714,15374,4,Y,No,21,3,3,80,2,35,4,2,12,4,8,4
29,No,Travel_Frequently,470,Research & Development,7,4,Medical,1,137,1,Female,52,1,2,Research Scientist,4,Single,9086,8149,8,Y,No,11,3,4,80,0,10,5,1,0,0,0,0
20,No,Travel_Rarely,663,Research & Development,18,3,Marketing,1,138,4,Female,82,4,3,Human Resources,3,Single,13606,10921,3,Y,No,16,3,4,80,3,1,5,1,0,0,0,0
52,No,Travel_Rarely,563,Sales,1,4,Medical,1,139,3,Male,70,3,3,Manufacturing Director,1,Married,11828,9112,8,Y,Yes,15,3,2,80,0,30,6,4,14,5,3,4
37,No,Non-Travel,331,Research & Development,10,3,Other,1,140,3,Female,52,2,2,Manager,4,Divorced,7635,7799,8,Y,Yes,16,3,2,80,1,16,2,1,11,4,2,3
46,No,Travel_Rarely,850,Research & Development,11,3,Life Sciences,1,141,3,Male,104,4,4,Manufacturing Director,3,Divorced,16464,17054,1,Y,No,14,3,4,80,0,26,5,1,8,3,0,2
45,No,Travel_Frequently,635,Sales,19,4,Marketing,1,142,1,Female,85,1,4,Sales Representative,1,Married,13020,13336,7,Y,No,12,4,2,80,2,23,4,1,9,3,1,3
